level,ai_method,avg_steps,avg_time_us,avg_cost,success_rate_percent,avg_replans,avg_fallbacks
1,random,213.93,773669.4,7860.03,100.0,0.0,0.0
1,random_noise,257.6,905322.75,9179.87,96.7,0.0,0.0
1,greedy,16.0,60823.85,610.0,100.0,0.0,0.0
1,greedy_noise,48.5,172548.24,1714.17,100.0,0.7,0.0
1,a_star,16.0,5.27,16.0,100.0,0.0,0.0
1,a_star_noise_fallback,38.37,105964.72,1084.23,96.7,0.07,0.03
1,bfs,16.0,59944.87,610.0,100.0,0.0,0.0
1,bfs_noise,18.6,63936.15,651.4,100.0,0.8,0.0
1,ucs,16.0,6.85,16.0,100.0,0.0,0.0
1,ucs_noise_fallback,53.3,150258.95,1541.37,96.7,0.03,0.17
2,random,836.13,2083906.22,21424.83,53.3,0.0,0.0
2,random_noise,817.1,1968335.96,20242.37,43.3,0.0,0.0
2,greedy,28.0,19949.48,226.0,100.0,0.0,0.0
2,greedy_noise,137.7,311453.36,3218.13,90.0,1.27,0.0
2,a_star,28.0,8.49,28.0,100.0,0.0,0.0
2,a_star_noise_fallback,58.7,110183.99,1150.57,96.7,0.2,0.03
2,bfs,28.0,19896.53,226.0,100.0,0.0,0.0
2,bfs_noise,426.3,1065739.06,10962.5,70.0,1.17,0.0
2,ucs,28.0,10.4,28.0,100.0,0.0,0.0
2,ucs_noise_fallback,160.2,340828.67,3512.13,90.0,0.27,0.17
3,random,938.6,3316526.29,33717.5,20.0,0.0,0.0
3,random_noise,888.07,3195002.63,32452.8,26.7,0.0,0.0
3,greedy,36.0,30458.05,333.0,100.0,0.0,0.0
3,greedy_noise,377.53,1263521.93,12830.6,66.7,2.2,0.0
3,a_star,36.0,9.82,36.0,100.0,0.0,0.0
3,a_star_noise_fallback,246.43,743643.32,7577.37,80.0,0.37,0.27
3,bfs,36.0,29853.38,333.0,100.0,0.0,0.0
3,bfs_noise,325.9,1172486.69,11890.23,73.3,3.17,0.0
3,ucs,36.0,13.33,36.0,100.0,0.0,0.0
3,ucs_noise_fallback,250.73,822106.72,8231.63,76.7,0.37,0.27
